wage,school,age
28.6666682711,15,37
22.6666659693,12,37
12.3076908871,10.5,37
15.8139526525,16,37
21.9512174621,15,36
11.7500013939,11.5,36
12.380953653,18,36
13.7399996349,12,36
11.599998653,10.5,36
14.6666673608,11.5,36
7.3000002959,10.5,36
8.8888888713,11.5,36
11.1111113809,12,36
16.1200005005,18,36
12.0000002837,10.5,36
8.0519486864,10.5,36
11.2500007417,11.5,36
18.7500014281,10.5,36
29.0545459247,18,36
9.5833335506,12,36
17.7777777765,15,36
11.1475005329,11,36
15.6457127496,10.5,36
10.0000003197,11.5,36
14.1463412842,15,36
13.8447365843,11.5,36
19.1000019014,15,36
9.7000007167,7,36
8.0000000457,10.5,36
19.636363673,18,35
16.2499990715,18,35
12.500000728,18,35
13.2499991466,15,35
14.871795013,13.5,35
11.5555541995,10.5,35
15.4761887829,12,35
16.2790706852,15,35
11.7647068305,11.5,35
9.4805203719,14.5,35
12.1250012143,11.5,35
14.0000009552,16,35
10.2222220218,11.5,35
13.9583331559,13.5,35
13.7662348954,15,35
4.7543476811,9,35
12.1052642845,10,35
9.0909090963,9,35
7.7777782338,11.5,35
10.2702712465,12,35
13.4285722077,10.5,35
7.50000036,11.5,35
11.6216213133,10.5,35
7.50000036,10.5,35
11.7142844746,11.5,35
24.2857130936,18,35
12.3684205447,15,35
9.7499993431,10.5,35
12.0238104197,12,35
20.200002069,11.5,35
8.0000000457,10.5,35
65.0000120309,18,35
15.4999989811,15,35
11.1428583734,15,35
9.4736853321,11.5,35
9.8833341963,10.5,35
15.6250013203,18,35
12.9999989158,11.5,35
13.0499989278,16,35
16.9767426817,15,34
15.0000007486,11.5,34
13.2467520453,18,34
16.6666673702,15,34
15.9523797828,16,34
16.3461520232,18,34
15.2631577248,13.5,34
13.4545464348,11,34
8.4210533426,11.5,34
16.1000008146,10.5,34
10.7142858606,11.5,34
13.2467520453,18,34
10.7705268872,13.5,34
18.8888884651,18,34
11.4285711013,15,34
22.7499995249,18,34
17.4399982366,18,34
20.0000006776,11.5,34
14.4444431287,18,34
14.5454541999,12,34
9.4736853321,9,34
14.8051965465,9,34
64.935080178,16,34
10.2272730806,10.5,34
20.9638538874,13,34
12.9870125487,11.5,33
9.7499993431,18,33
14.7368407573,18,33
16.5000013412,12,33
10.6740009251,12,33
8.4210533426,10.5,33
20.0000006776,10.5,33
16.2790706852,15,33
14.7500013114,15,33
10.8000003384,10.5,33
13.7777764043,14.5,33
12.500000728,18,33
11.8518516385,15,33
22.5000015263,14.5,33
10.9246763158,12,33
9.6649349405,11.5,33
13.2000007263,11.5,33
7.4083329296,13.5,33
15.9523797828,18,33
8.1999994139,10.5,33
16.2790706852,18,33
19.1111118381,16,33
14.8051965465,16,33
11.5581387336,14,33
13.2631567836,12,32
7.50000036,11,32
12.0000002837,10.5,32
13.7500012322,15,32
12.0888879827,10.5,32
9.2499989841,13.5,32
14.4999986971,12,32
8.8888888713,10.5,32
21.6216202652,14,32
10.5000008846,11.5,32
10.1999997452,16,32
9.2592595613,10.5,32
8.7500008101,9,32
8.7500008101,7,32
9.5999999749,9,32
10.0000003197,9,32
9.000000357,10.5,31
8.4210533426,10.5,31
10.0000003197,10.5,31
16.5853668894,11.5,31
12.9999989158,12,31
16.8181834852,18,31
8.8311678718,14,31
17.7777777765,18,31
17.2727259562,14.5,31
15.4545447418,18,31
11.20000047,15,31
12.0779232461,11,31
10.4555548111,10.5,31
10.1204827677,15,31
9.8701308541,10.5,31
10.8695660421,15,31
7.0270274241,11.5,30
8.1999994139,10.5,30
8.8622218332,15,30
11.0000006969,14.5,30
11.6666675599,11.5,30
15.7500016094,14.5,30
10.7142858606,11.5,30
10.5000008846,9,30
17.2500005567,14.5,30
11.2500007417,14,29
12.1688880185,11.5,29
9.1666673238,15,29
11.033334576,13.5,29
9.4999995559,10.5,29
11.7368421007,11.5,29
10.888889922,12,29
9.6363647577,12,29
12.3250012318,14.5,29
11.3931820205,15,28
11.0000006969,11.5,28
10.5274990754,12,28
10.0625007542,11.5,28
12.6666658716,10.5,27
7.9545459414,11.5,27
8.0000000457,11.5,27
11.8421041527,15,27
9.6103899622,14,27
12.8205117842,10.5,27
4.8750002434,18,27
17.3266670267,15,26
7.6315788479,11.5,26
8.8888888713,15,26
8.7500008101,10.5,26
9.7333324116,11.5,26
9.8701308541,11.5,26
9.3333338028,14.5,26
9.5999999749,14.5,25
16.1933318389,16,25
8.8888888713,12,25
17.5000016535,14.5,24
6.7142860911,11.5,24
7.3913043551,12,24
8.7500008101,13,24
7.7777782338,10,24
6.6000003506,10.5,24
8.7500008101,11.5,23
10.5000008846,11.5,23
10.3999988595,11.5,23
4.0000000152,15,23
8.8615393869,13.5,23
2.6315789149,7,22
4.2499999212,9,22
8.2500006549,10.5,22
10.6666665567,11.5,22
6.4705881762,10,21
6.6666667603,11.5,21
12.6984122371,11.5,21
15.128572272,11.5,47
14.1666665759,11.5,47
25.9999978812,18,47
13.636363889,12,47
13.9534885366,15,47
14.1025634051,12,47
30.0000015543,18,46
24.0000006132,14.5,46
11.2500007417,10.5,46
8.0769227636,9,46
15.4285713821,10.5,46
14.4999986971,10.5,46
22.2499973683,14.5,45
14.0000009552,11.5,45
10.8000003384,12,45
18.4210514303,16,45
6.976744255,10.5,45
10.3999988595,14,45
23.4090882199,18,44
18.8000017724,18,44
8.8000003264,10.5,44
5.8333330734,10.5,44
31.1111130537,16,44
9.6153839922,11,44
15.5555564972,11.5,44
